id,review
tt0372366,"{'data-review-id': 'rw0996989', 'full_review': ""This is doing the Russian Tourist Board no favors at all, portraying as it does a seemingly endless drab landscape punctuated by decaying buildings both domestic and commercial and populated by equally drab eccentrics. To call it slow-paced would be to call sloths sprinters but that is not necessarily a deficit. 90 per cent of the shots begin as Extra Wide taking in all the colorless terrain and occasionally introducing movement via people and, even more occasionally, traffic. Although shot in color the landscape remains resolutely grey. There's also a penchant for holding a shot for long moments after the characters have exited and in this it resembles Goodbye, Dragon Inn. Nevertheless we find ourselves watching the father and son as they make their very slow way to the Crimea having, we are told, started from Moscow. Along the way we learn, or discover, that the father is a recovering alcoholic and that the Koktebel to which he is taking his son no longer exists, at least not under that name, a metaphor for lives that must change or disappear. The film has to be carried by the two principals but there is decent support from a railway worker, a teenage girl, a householder and a doctor with no patients. It's not going to make a fortune but films like this deserve to be seen as a counterpoint to the formulaic."", 'rating_value': '7', 'review_date': '11 January 2005', 'reviewer_name': 'writers_reign', 'reviewer_url': '/user/ur2567136/', 'short_review': 'Road To Utopia'}"
tt0372366,"{'data-review-id': 'rw1094507', 'full_review': '', 'rating_value': '10', 'review_date': '1 June 2005', 'reviewer_name': 'robertbroadie', 'reviewer_url': '/user/ur3549535/', 'short_review': 'Visually breathtaking'}"
tt0372366,"{'data-review-id': 'rw1189411', 'full_review': 'A film like this just couldn\'t be made in America, where action must occur at a slam-bang pace, and children must be either pitifully ignorant of life or else caricatures of evil. Here, there is exquisite attention to detail -- a countryside, a vase of flowers, and long periods with no dialog at all where a mood is simply allowed to develop. The passage of time may not be in equivalent ""real time,"" yet it passes noticeably. And what a skilled performance by Gleb Puskepalis, a boy with, as often seems to be the case, a distinguished acting history in legitimate theater. His character is master of his fate and of the plot, and he himself is master of the camera and the cast. I like this film especially because it is the boy who is rational, determined and self-directed, while the adults, as in reality, are continually made fools by their alcohol, aggression, and just wanting ""to f*** each other"" all the time. Bravo!', 'rating_value': '10', 'review_date': '8 October 2005', 'reviewer_name': 'shneur', 'reviewer_url': '/user/ur4956076/', 'short_review': 'This is NOT Disney (thank God).'}"
tt0372366,"{'data-review-id': 'rw1033628', 'full_review': '', 'rating_value': '10', 'review_date': '5 March 2005', 'reviewer_name': 'gospodinBezkrai', 'reviewer_url': '/user/ur4559435/', 'short_review': 'Very calm and very real film.'}"
tt0372366,"{'data-review-id': 'rw2534398', 'full_review': '', 'rating_value': '10', 'review_date': '18 December 2011', 'reviewer_name': 'filmalamosa', 'reviewer_url': '/user/ur29659325/', 'short_review': 'ALCOHOLIC STRUGGLES excellent understated and subtle'}"
tt0372366,"{'data-review-id': 'rw2031953', 'full_review': '', 'rating_value': '7', 'review_date': '4 March 2009', 'reviewer_name': 'fablesofthereconstru-1', 'reviewer_url': '/user/ur18188323/', 'short_review': 'The other albatross'}"
tt0372366,"{'data-review-id': 'rw0928658', 'full_review': 'Good cinematography will only take you so far.  However, amazing cinematography will carry your film by itself.  And that\'s just the start...Acting is well above average, and the writing, although somewhat resembling the ""Russian soul"" in its mystique and lack of structure, nevertheless fulfills its duty: to get to the hearts of those who for some unknown reason would not find themselves enchanted by the visuals alone...', 'rating_value': '8', 'review_date': '10 January 2004', 'reviewer_name': 'LE020', 'reviewer_url': '/user/ur1703172/', 'short_review': 'Welcome back, Russian cinema.'}"
tt0372366,"{'data-review-id': 'rw0993291', 'full_review': ""I have just seen this film at the Renoir in London, and found much to enjoy. At first the basic story-line of the father looking for a haven and the boy for a world of adventure and freedom, seemed slow-moving but the early long takes gave the viewer time to absorb the landscape and the point-of-view, in particular the boy's slow awakening to the reality of his situation. His ability to 'see everything from above', demonstrated to the forest-dwelling girl early in the film when he drew a map of a terrain unknown to him, was an early signal of his superior grasp of reality and an introduction to the main metaphorical cluster of the film. The use of birds, glider and flying-paper imagery rang the changes on the visual representation of the boy's yearnings; a galaxy of Dostoyevsian larger-than-life and twice-as-unpredictable Russian characters met along the way added intrigue and ethnic authenticity to the story-line. The bizarre minor characters contrasted with the down-to-earth ordinariness of the tensions between the father and son. Their habitats were astonishing and yet completely acceptable within the heightened realism established in the early scenes - the railworker's shed with the lavatory doubling as a vodka store - the tumble-down mansion whose roof the father stayed to repair with disastrous consequences, the hillside ox-roast with flying sparks visible for miles and a suddenly-looming lorry-driver big as Brian Blessed hefting the boy across his shoulders with a triumphant cry of 'Meat! and a chill echo of 'Texas Chain Saw '.The Amazonian, silent 'Xenia', for all her 'sweatiness' complained of by the boy, was given a similarly apocryphal persona. All were separated by muddy fields and clawing shrubland which the camera allowed us to experience as visually alienating at a distance and unbearably uncomfortable up close. Questions raised were as much about Russian geography and history as about the central relationship and its outcome. By the end, the mention of 'Koktebel', whose very absence from the atlas referred to a historical shift in identity, carried the resonance of Chekhov's 'Moscow', in his masterpiece about longing and nostalgia, 'Three Sisters'. At the end of the film, when the uncertain pleasures of routine existence versus an ungraspable freedom had been clearly delineated, the binding ties of father and son remained as unresolved and problematic as at the beginning. Like the evenly-matched wrestlers in the hillside firelight, they were forced to declare an uneasy truce."", 'rating_value': '8', 'review_date': '1 January 2005', 'reviewer_name': 'sheilacornuk', 'reviewer_url': '/user/ur4129807/', 'short_review': 'A thoroughly Russian Mystery'}"
tt0372366,"{'data-review-id': 'rw1777065', 'full_review': ""A pleasant enough road movie, about a divorced (or widowed, I don't remember) man going with his young son from Moscow to the Crimea. He's an aeronautical engineer who has been fired and has hit the bad times (maybe with the recovery of Russia's economy under Putin, the argument is slightly out of date). We see them traveling through the countryside in a dilapidated train, and then through the bad roads of Western Russia and Eastern Ukraine. Nothing much happens, but before reaching the Black Sea they stop at small towns, where they offer to repair the roof to a house where a mean old man lives, meet a pretty young doctor, etc. Some reviews I read wrote about the pair traveling through the desolate steppes of the former Soviet Union, yet this is some of the most fertile and densely populated part of that country. The pace of the film is slow, though not terribly so, compared with traditional Russian cinema, and the characters seem real even if the plot is slightly far-fetched. Recommended."", 'rating_value': '7', 'review_date': '8 December 2007', 'reviewer_name': 'Andy-296', 'reviewer_url': '/user/ur0305809/', 'short_review': 'Good Russian road movie'}"
tt0372366,"{'data-review-id': 'rw1629350', 'full_review': '', 'rating_value': '8', 'review_date': '1 April 2007', 'reviewer_name': 'gurdeep-hamilton', 'reviewer_url': '/user/ur14555854/', 'short_review': 'As unpretentious as a boiled potato!'}"
